OBJECTID,StopAbbr,StopName,FacingDir,Lighting,ADA_ACCESS,BASE,Route_List,Municipality,County,Ons_Dec19,OFFs_Dec19,Position,LIFT,CURB,CURB_CUT,SIDEWALK,Stop_Type,Latitude,Longitude,Census_2010_Tracts_GA_GEOID10,Census_2010_Tracts_GA_NAMELSAD10,Census_2010_Tracts_GA_INTPTLAT10,Census_2010_Tracts_GA_INTPTLON10,NoCarPercentage19,MedHHI19,TotPop19,PerCapitaInc19,Missing Amenities,Shelter
2644,904339,N HIGHLAND AVE NE @ BLUE RIDGE AVE NE,S,1,Y,CONC,102;816,Atlanta,Fulton,7.423531,6.086855,NS,Y,Y,Y,Y,Sign,33.772471,-84.352528,13121001500,Census Tract 15,33.7764970,-84.3539007,15.6,66490,4617,66322,  ,0
2662,904646,DONALD L HOLLOWELL PKWY @ PAINES AVE,W,1,Y,CONC,50,Atlanta,Fulton,2.517388,12.575576,NS,Y,Y,Y,Y,Sign,33.773057,-84.414368,13121011800,Census Tract 118,33.7709168,-84.4088781,25.7,30972,1867,21117.8,  ,0
2663,904647,DONALD L HOLLOWELL PKWY @ OLIVER ST,W,0,Y,CONC,50,Atlanta,Fulton,2.939548,4.562008,NS,Y,Y,Y,Y,Sign,33.773065,-84.415401,13121011800,Census Tract 118,33.7709168,-84.4088781,25.7,30972,1867,21117.8,Lighting  ,0
2664,904648,DONALD L HOLLOWELL PKWY @ JOSEPH E LOWERY BLVD,W,1,Y,CONC,50,Atlanta,Fulton,6.391691,15.323228,NS,Y,Y,Y,Y,Sign,33.773081,-84.417304,13121011800,Census Tract 118,33.7709168,-84.4088781,25.7,30972,1867,21117.8,  ,0
2665,904636,BOULEVARD NE @ PONCE DE LEON AVE NE,N,1,Y,DIRT,102;809,Atlanta,Fulton,6.436879,46.924643,NS,Y,Y,Y,Y,Sign,33.773109,-84.371068,13121001300,Census Tract 13,33.7761933,-84.3715699,5.5,76188,4421,54315.2,  ,0
2669,904546,DONALD L HOLLOWELL PKWY @ SIMMONS ST,E,1,Y,DIRT,50,Atlanta,Fulton,6.706675,7.974633,NS,Y,N,N,Y,Sign,33.773151,-84.420229,13121000700,Census Tract 7,33.7799333,-84.4233152,12.1,84107,3339,25610.9,  ,0
2670,904333,MARIETTA ST NW@MEANS ST NW,SE,1,Y,CONC,26,Atlanta,Fulton,27.656462,5.268047,NS,Y,Y,Y,Y,Sign,33.773163,-84.403484,13121001002,Census Tract 10.02,33.7763249,-84.3995394,18.4,31042,7305,5419.2,  ,0
2696,904409,PONCE DE LEON AVE NE @ PONCE DE LEON PL,E,1,Y,CONC,2;102,Atlanta,Fulton,20.264744,76.911816,NS,Y,Y,Y,Y,Sign,33.773649,-84.363402,13121001400,Census Tract 14,33.7770784,-84.3622634,2.3,84167,2345,78163.9,  ,0
2700,904527,PONCE DE LEON AVE NE @ PONCE DE LEON PL,W,1,Y,DIRT,2;102,Atlanta,Fulton,63.904551,20.679373,NS,Y,Y,Y,Y,Sign,33.773699,-84.36362,13121001400,Census Tract 14,33.7770784,-84.3622634,2.3,84167,2345,78163.9,  ,0
2711,211524,PONCE DE LEON AVE @ N HIGHLAND AVE,W,1,Y,CONC,2;102,Atlanta,Fulton,82.077279,21.565021,FS,Y,Y,Y,Y,Sign,33.773916,-84.353067,13121001500,Census Tract 15,33.7764970,-84.3539007,15.6,66490,4617,66322,  ,0
2716,904428,PONCE DE LEON AVE NE @ BARNETT ST NE,W,1,Y,DIRT,2;102,Atlanta,Fulton,5.098287,3.654547,NS,Y,Y,Y,Y,Sign,33.773975,-84.358505,13121001500,Census Tract 15,33.7764970,-84.3539007,15.6,66490,4617,66322,  ,0
2740,905143,MARIETTA ST NW@NORTHSIDE DR NW,S,1,Y,DIRT,26,Atlanta,Fulton,0.235293,0.306279,FS,Y,Y,Y,Y,Sign,33.775141,-84.406688,13121001002,Census Tract 10.02,33.7763249,-84.3995394,18.4,31042,7305,5419.2,  ,0
2754,904711,MARIETTA BLVD NW @ JEFFERSON ST NW,S,1,N,DIRT,26,Atlanta,Fulton,28.125503,43.919721,NS,N,Y,N,N,Sign,33.775625,-84.426094,13121000700,Census Tract 7,33.7799333,-84.4233152,12.1,84107,3339,25610.9, ADA_Access Sidewalk,0
